Driver,DriverNumber,Team,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,LapStartTime,Year,Event,Session,LapTime_sec,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,QualiSegment,IsPushLap,CircuitName,Country,TrackType,Altitude_m,DRSZones,LapSpeedClass,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m
ALB,23,Williams,0 days 00:01:51.299000,1,0 days 00:00:51.597000,0 days 00:00:18.751000,0 days 00:00:40.951000,SOFT,1,TRUE,1,274,301,306,173,1,FALSE,0 days 00:13:58.321000,2025,Australian Grand Prix,Q,111.299,0 days 00:15:39.329000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
STR,18,Aston Martin,0 days 00:01:47.671000,1,0 days 00:00:49.801000,0 days 00:00:18.997000,0 days 00:00:38.873000,SOFT,1,TRUE,1,260,314,309,147,1,FALSE,0 days 00:14:07.206000,2025,Australian Grand Prix,Q,107.671,0 days 00:15:46.440000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
RUS,63,Mercedes,0 days 00:01:17.210000,2,0 days 00:00:26.777000,0 days 00:00:17.431000,0 days 00:00:33.002000,MEDIUM,2,TRUE,1,289,323,310,322,1,TRUE,0 days 00:14:31.889000,2025,Australian Grand Prix,Q,77.21,0 days 00:15:49.099000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
GAS,10,Alpine,0 days 00:01:47.874000,1,0 days 00:00:49.586000,0 days 00:00:20.258000,0 days 00:00:38.030000,SOFT,1,TRUE,1,246,302,306,169,1,FALSE,0 days 00:14:21.451000,2025,Australian Grand Prix,Q,107.874,0 days 00:16:01.372000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
DOO,7,Alpine,0 days 00:01:16.999000,2,0 days 00:00:26.740000,0 days 00:00:17.282000,0 days 00:00:32.977000,SOFT,2,TRUE,1,288,324,307,321,1,TRUE,0 days 00:14:48.513000,2025,Australian Grand Prix,Q,76.999,0 days 00:16:05.512000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
HUL,27,Alfa Romeo,0 days 00:01:16.925000,2,0 days 00:00:26.605000,0 days 00:00:17.309000,0 days 00:00:33.011000,SOFT,2,TRUE,1,289,328,307,323,1,TRUE,0 days 00:14:56.521000,2025,Australian Grand Prix,Q,76.925,0 days 00:16:13.446000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ANT,12,Mercedes,0 days 00:02:04.708000,1,0 days 00:01:00.679000,0 days 00:00:22.375000,0 days 00:00:41.654000,MEDIUM,1,TRUE,1,203,135,307,106,1,FALSE,0 days 00:14:25.084000,2025,Australian Grand Prix,Q,124.708,0 days 00:16:20.540000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
SAI,55,Williams,0 days 00:01:17.650000,2,0 days 00:00:27.029000,0 days 00:00:17.351000,0 days 00:00:33.270000,SOFT,2,TRUE,1,288,326,307,323,1,TRUE,0 days 00:15:04.708000,2025,Australian Grand Prix,Q,77.65,0 days 00:16:22.358000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
LEC,16,Ferrari,0 days 00:02:02.589000,1,0 days 00:00:58.882000,0 days 00:00:23.741000,0 days 00:00:39.966000,SOFT,1,TRUE,1,258,291,307,49,1,FALSE,0 days 00:14:32.536000,2025,Australian Grand Prix,Q,122.589,0 days 00:16:30.587000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ALO,14,Aston Martin,0 days 00:01:16.546000,2,0 days 00:00:26.495000,0 days 00:00:17.304000,0 days 00:00:32.747000,SOFT,2,TRUE,1,289,324,308,324,1,TRUE,0 days 00:15:17.861000,2025,Australian Grand Prix,Q,76.546,0 days 00:16:34.407000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
HAM,44,Ferrari,0 days 00:02:11.043000,1,0 days 00:01:10.077000,0 days 00:00:22.176000,0 days 00:00:38.790000,SOFT,1,TRUE,1,248,260,308,128,1,FALSE,0 days 00:14:39.185000,2025,Australian Grand Prix,Q,131.043,0 days 00:16:41.521000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
LAW,30,Red Bull Racing,0 days 00:01:17.094000,2,0 days 00:00:26.819000,0 days 00:00:17.362000,0 days 00:00:32.913000,SOFT,2,TRUE,1,291,329,307,327,1,TRUE,0 days 00:15:33.081000,2025,Australian Grand Prix,Q,77.094,0 days 00:16:50.175000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
NOR,4,McLaren,0 days 00:01:50.421000,1,0 days 00:00:48.877000,0 days 00:00:24.492000,0 days 00:00:37.052000,SOFT,1,TRUE,1,240,171,310,53,1,FALSE,0 days 00:15:08.068000,2025,Australian Grand Prix,Q,110.421,0 days 00:16:54.443000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ALB,23,Williams,0 days 00:01:16.963000,2,0 days 00:00:26.756000,0 days 00:00:17.281000,0 days 00:00:32.926000,SOFT,2,TRUE,1,289,327,309,323,1,TRUE,0 days 00:15:39.329000,2025,Australian Grand Prix,Q,76.963,0 days 00:16:56.292000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
BOR,5,Alfa Romeo,0 days 00:01:49.015000,2,0 days 00:00:30.492000,0 days 00:00:23.848000,0 days 00:00:54.675000,SOFT,2,TRUE,1,206,223,,325,1,FALSE,0 days 00:15:10.329000,2025,Australian Grand Prix,Q,109.015,0 days 00:16:59.344000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
STR,18,Aston Martin,0 days 00:01:16.950000,2,0 days 00:00:26.697000,0 days 00:00:17.289000,0 days 00:00:32.964000,SOFT,2,TRUE,1,290,324,308,325,1,TRUE,0 days 00:15:46.440000,2025,Australian Grand Prix,Q,76.95,0 days 00:17:03.390000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
GAS,10,Alpine,0 days 00:01:16.839000,2,0 days 00:00:26.640000,0 days 00:00:17.369000,0 days 00:00:32.830000,SOFT,2,TRUE,1,288,323,301,322,1,TRUE,0 days 00:16:01.372000,2025,Australian Grand Prix,Q,76.839,0 days 00:17:18.211000,30.1,53,1009.7,FALSE,40.2,262,1.9,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
PIA,81,McLaren,0 days 00:01:46.474000,1,0 days 00:00:42.719000,0 days 00:00:19.397000,0 days 00:00:44.358000,SOFT,1,TRUE,1,259,309,306,152,1,FALSE,0 days 00:15:51.842000,2025,Australian Grand Prix,Q,106.474,0 days 00:17:36.045000,29.9,54,1009.6,FALSE,40.5,273,1.2,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ANT,12,Mercedes,0 days 00:01:17.449000,2,0 days 00:00:26.892000,0 days 00:00:17.476000,0 days 00:00:33.081000,MEDIUM,2,TRUE,1,283,323,309,324,1,TRUE,0 days 00:16:20.540000,2025,Australian Grand Prix,Q,77.449,0 days 00:17:37.989000,29.9,54,1009.6,FALSE,40.5,273,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
LEC,16,Ferrari,0 days 00:01:16.453000,2,0 days 00:00:26.558000,0 days 00:00:17.265000,0 days 00:00:32.630000,SOFT,2,TRUE,1,290,323,307,324,1,TRUE,0 days 00:16:30.587000,2025,Australian Grand Prix,Q,76.453,0 days 00:17:47.040000,29.9,54,1009.6,FALSE,40.5,273,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
DOO,7,Alpine,0 days 00:01:46.845000,3,0 days 00:00:36.122000,0 days 00:00:24.182000,0 days 00:00:46.541000,SOFT,3,TRUE,1,216,228,180,275,1,FALSE,0 days 00:16:05.512000,2025,Australian Grand Prix,Q,106.845,0 days 00:17:52.357000,29.9,54,1009.6,FALSE,40.5,273,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
HAM,44,Ferrari,0 days 00:01:16.744000,2,0 days 00:00:26.490000,0 days 00:00:17.391000,0 days 00:00:32.863000,SOFT,2,TRUE,1,290,319,306,323,1,TRUE,0 days 00:16:41.521000,2025,Australian Grand Prix,Q,76.744,0 days 00:17:58.265000,29.9,54,1009.6,FALSE,40.5,273,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
NOR,4,McLaren,0 days 00:01:16.003000,2,0 days 00:00:26.383000,0 days 00:00:17.285000,0 days 00:00:32.335000,SOFT,2,TRUE,1,290,322,307,324,1,TRUE,0 days 00:16:54.443000,2025,Australian Grand Prix,Q,76.003,0 days 00:18:10.446000,29.9,54,1009.6,FALSE,40.5,273,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
SAI,55,Williams,0 days 00:01:57.558000,3,0 days 00:00:37.899000,0 days 00:00:26.600000,0 days 00:00:53.059000,SOFT,3,TRUE,1,221,247,82,237,1,FALSE,0 days 00:16:22.358000,2025,Australian Grand Prix,Q,117.558,0 days 00:18:19.916000,29.9,54,1009.6,FALSE,40.5,273,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
VER,1,Red Bull Racing,0 days 00:01:38.807000,1,0 days 00:00:40.011000,0 days 00:00:21.330000,0 days 00:00:37.466000,SOFT,1,TRUE,1,269,267,311,182,1,FALSE,0 days 00:16:46.726000,2025,Australian Grand Prix,Q,98.807,0 days 00:18:23.406000,29.9,53,1009.6,FALSE,41.5,236,1.2,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
RUS,63,Mercedes,,3,0 days 00:00:35.312000,0 days 00:00:21.941000,,MEDIUM,3,TRUE,1,241,289,,232,1,FALSE,0 days 00:15:49.099000,2025,Australian Grand Prix,Q,,0 days 00:18:40.738000,29.9,53,1009.6,FALSE,41.5,236,1.2,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ALB,23,Williams,0 days 00:01:44.620000,3,0 days 00:00:41.026000,0 days 00:00:22.838000,0 days 00:00:40.756000,SOFT,3,TRUE,1,220,251,285,242,1,FALSE,0 days 00:16:56.292000,2025,Australian Grand Prix,Q,104.62,0 days 00:18:40.912000,29.9,53,1009.6,FALSE,41.5,236,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
PIA,81,McLaren,0 days 00:01:16.157000,2,0 days 00:00:26.452000,0 days 00:00:17.204000,0 days 00:00:32.501000,SOFT,2,TRUE,1,290,322,306,321,1,TRUE,0 days 00:17:36.045000,2025,Australian Grand Prix,Q,76.157,0 days 00:18:52.202000,29.9,53,1009.6,FALSE,41.5,236,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
HUL,27,Alfa Romeo,,3,0 days 00:00:35.788000,0 days 00:00:21.248000,,SOFT,3,TRUE,1,246,268,,232,1,FALSE,0 days 00:16:13.446000,2025,Australian Grand Prix,Q,,0 days 00:18:53.349000,29.9,53,1009.6,FALSE,41.5,236,1.2,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
BOR,5,Alfa Romeo,0 days 00:01:55.195000,3,0 days 00:00:50.758000,0 days 00:00:23.424000,0 days 00:00:41.013000,SOFT,1,TRUE,2,210,265,310,56,1,FALSE,0 days 00:16:59.344000,2025,Australian Grand Prix,Q,115.195,0 days 00:18:54.539000,29.9,53,1009.6,FALSE,41.5,236,1.2,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
OCO,31,Haas,,3,0 days 00:00:32.754000,0 days 00:00:23.633000,,SOFT,3,TRUE,1,134,195,,271,1,FALSE,0 days 00:15:26.930000,2025,Australian Grand Prix,Q,,0 days 00:18:58.474000,29.9,53,1009.6,FALSE,41.5,236,1.2,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
GAS,10,Alpine,0 days 00:01:50.995000,3,0 days 00:00:39.233000,0 days 00:00:22.133000,0 days 00:00:49.629000,SOFT,3,TRUE,1,236,236,126,238,1,FALSE,0 days 00:17:18.211000,2025,Australian Grand Prix,Q,110.995,0 days 00:19:09.206000,29.9,53,1009.6,FALSE,41.5,236,1.2,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
DOO,7,Alpine,0 days 00:01:42.162000,4,0 days 00:00:38.348000,0 days 00:00:23.060000,0 days 00:00:40.754000,SOFT,4,TRUE,1,213,222,305,161,1,FALSE,0 days 00:17:52.357000,2025,Australian Grand Prix,Q,102.162,0 days 00:19:34.519000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
VER,1,Red Bull Racing,0 days 00:01:16.018000,2,0 days 00:00:26.366000,0 days 00:00:17.171000,0 days 00:00:32.481000,SOFT,2,TRUE,1,291,327,303,328,1,TRUE,0 days 00:18:23.406000,2025,Australian Grand Prix,Q,76.018,0 days 00:19:39.424000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
LEC,16,Ferrari,0 days 00:02:02.185000,3,0 days 00:00:38.091000,0 days 00:00:21.577000,0 days 00:01:02.517000,SOFT,3,TRUE,1,236,214,,226,1,FALSE,0 days 00:17:47.040000,2025,Australian Grand Prix,Q,122.185,0 days 00:19:49.225000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ALO,14,Aston Martin,,3,0 days 00:00:34.049000,0 days 00:00:21.436000,,SOFT,3,TRUE,1,186,237,,262,1,FALSE,0 days 00:16:34.407000,2025,Australian Grand Prix,Q,,0 days 00:19:59.930000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
STR,18,Aston Martin,,3,0 days 00:00:35.543000,0 days 00:00:22.971000,,SOFT,3,TRUE,1,215,243,,240,1,FALSE,0 days 00:17:03.390000,2025,Australian Grand Prix,Q,,0 days 00:20:01.299000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
SAI,55,Williams,0 days 00:01:49.125000,4,0 days 00:00:45.125000,0 days 00:00:24.914000,0 days 00:00:39.086000,SOFT,4,TRUE,1,211,249,306,91,1,FALSE,0 days 00:18:19.916000,2025,Australian Grand Prix,Q,109.125,0 days 00:20:09.041000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
BOR,5,Alfa Romeo,0 days 00:01:16.771000,4,0 days 00:00:26.423000,0 days 00:00:17.272000,0 days 00:00:33.076000,SOFT,2,TRUE,2,289,326,302,326,1,TRUE,0 days 00:18:54.539000,2025,Australian Grand Prix,Q,76.771,0 days 00:20:11.310000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
NOR,4,McLaren,0 days 00:02:02.350000,3,0 days 00:00:37.180000,0 days 00:00:23.115000,0 days 00:01:02.055000,SOFT,3,TRUE,1,227,236,,272,1,FALSE,0 days 00:18:10.446000,2025,Australian Grand Prix,Q,122.35,0 days 00:20:12.796000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
HAM,44,Ferrari,0 days 00:02:20.454000,3,0 days 00:00:38.912000,0 days 00:00:22.170000,0 days 00:01:19.372000,SOFT,3,TRUE,1,228,265,,191,1,FALSE,0 days 00:17:58.265000,2025,Australian Grand Prix,Q,140.454,0 days 00:20:18.719000,29.8,51,1009.6,FALSE,41.5,232,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ALB,23,Williams,0 days 00:01:44.418000,4,0 days 00:00:39.183000,0 days 00:00:22.548000,0 days 00:00:42.687000,SOFT,4,TRUE,1,196,269,308,221,1,FALSE,0 days 00:18:40.912000,2025,Australian Grand Prix,Q,104.418,0 days 00:20:25.330000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
LAW,30,Red Bull Racing,,3,0 days 00:00:36.238000,0 days 00:00:20.969000,,SOFT,3,TRUE,1,250,261,,278,1,FALSE,0 days 00:16:50.175000,2025,Australian Grand Prix,Q,,0 days 00:20:27.256000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
HAD,6,Racing Bulls,0 days 00:01:57.105000,1,0 days 00:00:49.706000,0 days 00:00:20.338000,0 days 00:00:47.061000,SOFT,1,TRUE,1,244,302,309,160,1,FALSE,0 days 00:18:40.194000,2025,Australian Grand Prix,Q,117.105,0 days 00:20:32.789000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
RUS,63,Mercedes,0 days 00:02:00.097000,4,0 days 00:00:51.163000,0 days 00:00:21.857000,0 days 00:00:47.077000,MEDIUM,4,FALSE,2,240,258,310,102,1,FALSE,0 days 00:18:40.738000,2025,Australian Grand Prix,Q,120.097,0 days 00:20:40.835000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
PIA,81,McLaren,0 days 00:01:57.264000,3,0 days 00:00:42.024000,0 days 00:00:22.928000,0 days 00:00:52.312000,SOFT,3,TRUE,1,209,241,,148,1,FALSE,0 days 00:18:52.202000,2025,Australian Grand Prix,Q,117.264,0 days 00:20:49.466000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
TSU,22,Racing Bulls,0 days 00:02:03.776000,1,0 days 00:00:59.055000,0 days 00:00:22.070000,0 days 00:00:42.651000,SOFT,1,TRUE,1,213,283,309,107,1,FALSE,0 days 00:18:50.729000,2025,Australian Grand Prix,Q,123.776,0 days 00:20:49.543000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
DOO,7,Alpine,0 days 00:01:16.729000,5,0 days 00:00:26.534000,0 days 00:00:17.153000,0 days 00:00:33.042000,SOFT,5,TRUE,1,288,326,310,323,1,TRUE,0 days 00:19:34.519000,2025,Australian Grand Prix,Q,76.729,0 days 00:20:51.248000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
GAS,10,Alpine,0 days 00:01:46.949000,4,0 days 00:00:43.056000,0 days 00:00:20.839000,0 days 00:00:43.054000,SOFT,4,TRUE,1,236,252,309,143,1,FALSE,0 days 00:19:09.206000,2025,Australian Grand Prix,Q,106.949,0 days 00:20:56.155000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
HUL,27,Alfa Romeo,0 days 00:02:09.192000,4,0 days 00:01:00.064000,0 days 00:00:22.740000,0 days 00:00:46.388000,SOFT,4,FALSE,2,231,158,309,114,1,FALSE,0 days 00:18:53.349000,2025,Australian Grand Prix,Q,129.192,0 days 00:21:02.541000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
OCO,31,Haas,0 days 00:02:09.804000,4,0 days 00:01:04.408000,0 days 00:00:19.093000,0 days 00:00:46.303000,SOFT,1,TRUE,2,256,302,306,122,1,FALSE,0 days 00:18:58.474000,2025,Australian Grand Prix,Q,129.804,0 days 00:21:08.278000,29.8,52,1009.5,FALSE,40.2,159,1,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
SAI,55,Williams,0 days 00:01:16.440000,5,0 days 00:00:26.466000,0 days 00:00:17.168000,0 days 00:00:32.806000,SOFT,5,TRUE,1,289,326,308,323,1,TRUE,0 days 00:20:09.041000,2025,Australian Grand Prix,Q,76.44,0 days 00:21:25.481000,29.7,52,1009.5,FALSE,40.2,204,0.4,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
LEC,16,Ferrari,0 days 00:01:46.659000,4,0 days 00:00:43.035000,0 days 00:00:22.565000,0 days 00:00:41.059000,SOFT,1,TRUE,2,252,264,308,171,1,FALSE,0 days 00:19:49.225000,2025,Australian Grand Prix,Q,106.659,0 days 00:21:35.884000,29.7,52,1009.5,FALSE,40.2,204,0.4,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ALO,14,Aston Martin,0 days 00:01:40.555000,4,0 days 00:00:40.561000,0 days 00:00:19.470000,0 days 00:00:40.524000,SOFT,1,TRUE,2,260,296,309,170,1,FALSE,0 days 00:19:59.930000,2025,Australian Grand Prix,Q,100.555,0 days 00:21:40.485000,29.7,52,1009.5,FALSE,40.2,204,0.4,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ALB,23,Williams,0 days 00:01:16.563000,5,0 days 00:00:26.580000,0 days 00:00:17.141000,0 days 00:00:32.842000,SOFT,5,TRUE,1,290,329,311,325,1,TRUE,0 days 00:20:25.330000,2025,Australian Grand Prix,Q,76.563,0 days 00:21:41.893000,29.7,52,1009.5,FALSE,40.2,204,0.4,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
